id	text	label
LLM_SEX_000027	ওদের মেয়েলি বন্ধুত্ব তো শুধু নিজেদের রূপচর্চার গল্প আর পুরুষের পেছনে ছোটা।	Sexism
LLM_SEX_000028	দুজন মহিলা একসাথে হলেই বুঝতে হবে কোনো পুরুষের সর্বনাশ আসন্ন।	Sexism
LLM_SEX_000029	এসব নারী নেত্রীদের বন্ধুত্ব তো শুধু ক্যামেরার সামনে, পেছনে ঠিকই একজন আরেকজনের বদনাম করে।	Sexism
LLM_SEX_000030	মেয়েদের মধ্যে সত্যিকারের ভালোবাসা হয় না, সবটাই হিংসা আর স্বার্থপরতা।	Sexism
LLM_SEX_000031	কয়েকজন মেয়ে মিলেমিশে কাজ করলে তার চেয়ে বেশি ঝগড়াঝাঁটি করে।	Sexism
LLM_SEX_000032	নারীদের আড্ডা মানেই তো পরনিন্দা আর কে কার চেয়ে ভালো সাজলো তার প্রতিযোগিতা।	Sexism
LLM_SEX_000033	এই মেয়েদের জোট শুধু ক্ষমতা আর টাকার লোভে, নিজেদের মধ্যে কোনো নীতি নেই।	Sexism
LLM_SEX_000034	আগে দেখতাম মেয়েরা একে অপরের বিপদে দাঁড়াতো, এখন শুধু নিজেদের হাসাহাসি করে।	Sexism
LLM_SEX_000035	মেয়েদের বন্ধুত্ব হলো কাঁচের মতো ভঙ্গুর, সামান্য কিছুতেই ভেঙে যায়।	Sexism
LLM_SEX_000036	নারীরা এখন শুধু অফিসের বস সেজে ঘুরে বেড়ায়, ঘর-সংসার শিকেয় উঠেছে।	Sexism
LLM_SEX_000037	আজকালকার মেয়েরা এতটাই বেহায়া যে রাস্তাঘাটে যা খুশি তাই করে বেড়ায়, সমাজটা নষ্ট হয়ে গেল।	Sexism
LLM_SEX_000038	এই আধুনিক মেয়েরা তো শুধু সোশ্যাল মিডিয়ায় নিজেদের দেখাতে ভালোবাসে, আসল জীবনে কিছুই নেই।	Sexism
LLM_SEX_000039	মেয়েরা তো রাজনীতি কী বুঝবে! ওদের কাজ তো রান্নাবান্না আর সাজুগুজো।	Sexism
LLM_SEX_000040	নারী যখন ক্ষমতা পায়, তখন নিজেদের ছাড়া আর কিছু বোঝে না। এদের দিয়ে দেশ চালানো যায় না।	Sexism
LLM_SEX_000041	আজকালকার মেয়েরা তো মনে করে একা সব করতে পারে, পুরুষের দরকার নেই। এটাই তো পতিতার লক্ষণ।	Sexism
LLM_SEX_000042	মেয়েদের এত বেশি লেখাপড়া করিয়ে লাভ কী? শেষমেশ তো অন্যের ঘরই করবে, আর পুরুষদের কথা শুনবে না।	Sexism
LLM_SEX_000043	যেই মেয়েরা সালোয়ার কামিজ ছেড়ে জিন্স-টপস পরে, তাদের আর সততা কোথায়?	Sexism
LLM_SEX_000044	এখনকার মেয়েদের দেখে মনে হয় না যে এদের কোনো মূল্যবোধ আছে, শুধুই ভোগের বস্তু।	Sexism
LLM_SEX_000045	উচ্চশিক্ষিত নারীরা এখন শুধু ক্যারিয়ার ক্যারিয়ার করে, মা হওয়ার দায়িত্ব কে নেবে তাহলে?	Sexism
LLM_SEX_000046	মেয়েরা এখন কেরিয়ার নিয়ে ব্যস্ত, সংসার সামলানোর সময় কোথায় পায়?	Sexism
LLM_SEX_000047	মেয়েরা কেবল শরীর দেখিয়ে ভাইরাল হতে চায়, আর কিছু জানে না।	Sexism
LLM_SEX_000048	মেয়েরা রাজনীতিতে এলে শুধু ঝগড়া আর নাটক করবে, দেশ চালাবে না।	Sexism
LLM_SEX_000049	আজকালকার মেয়েরা পরকীয়া ছাড়া আর কিছু বোঝে না, সংসার ভাঙার কারণ এরা।	Sexism
LLM_SEX_000050	নারী পুলিশ হলে কি আর চোর ধরা যায়? তাদের কাজ তো রান্নাঘরে।	Sexism
LLM_SEX_000051	যে নারী নিজের বাচ্চাকে ফেলে কেরিয়ারের পেছনে ছোটে, সে মা নামের অযোগ্য।	Sexism
LLM_SEX_000052	পুরুষদের পায়ের তলায় থাকাটাই মেয়েদের আসল জায়গা।	Sexism
LLM_SEX_000053	মেয়েদের তো শরীরটাই আসল সম্পদ, বুদ্ধি দিয়ে কি আর হবে?	Sexism
LLM_SEX_000054	যেসব নারী পুরুষদের সাথে পাল্লা দিতে চায়, তারা আসলে নিজেদের সম্মান বোঝে না।	Sexism
LLM_SEX_000055	নারীর সম্মান নিজেদের হাতেই থাকে, যা খুশি করবে আর বলবে পুরুষরা খারাপ।	Sexism
LLM_SEX_000056	এইসব মডেলিং করা মেয়েরা তো শুধু পুরুষদের চোখ টানার জন্য।	Sexism
LLM_SEX_000057	মেয়েদের ছোটখাটো কাজ দিলে ঠিক আছে, কিন্তু বড় সিদ্ধান্ত তাদের দিয়ে হয় না।	Sexism
LLM_SEX_000058	অফিসের বড় পদে নারীদের মানায় না, তারা শুধু পরিবেশ নষ্ট করে।	Sexism
LLM_SEX_000059	যেসব মেয়েরা রাতবিরেতে বাইরে ঘোরাঘুরি করে, তাদের ঘরে ফেরা উচিত।	Sexism
LLM_SEX_000060	আজকালকার মেয়েদের স্বাধীনতাই সব অনর্থের মূল।	Sexism
LLM_SEX_000061	মহিলাদের গাড়ি চালানো মানেই বিপদ, ওরা শুধু ব্রেক আর এক্সিলেটর চেনে।	Sexism
LLM_SEX_000062	মেয়েদের মাথায় বুদ্ধি কম থাকে, তাই ওদের কথা গুরুত্ব দিতে নেই।	Sexism
LLM_SEX_000063	বেপর্দা নারীদের কারণেই সমাজে এত নষ্টামি বাড়ছে।	Sexism
LLM_SEX_000064	নারীরা তো শুধু ভোগের পণ্য, ওদের আর কি যোগ্যতা আছে?	Sexism
LLM_SEX_000065	লিঙ্গ পরিবর্তন করে কি আর আসল নারী হওয়া যায়? এরা তো সমাজের বোঝা।	Sexism
LLM_SEX_000066	এই মহিলার কি কাজ? পুরুষরা যেখানে কাজ করে, সেখানে ওদের দরকার নেই।	Sexism
LLM_SEX_000067	মেয়েদের মন বোঝা দায়, কখন কার সাথে খেলা করে বসে।	Sexism
LLM_SEX_000068	মেয়েদের উচিত ঘর সামলানো, বড় স্বপ্ন দেখলে মানায় না।	Sexism
LLM_SEX_000069	আজকাল বিয়ে ভেঙে যাচ্ছে শুধু মেয়েদের বাড়াবাড়ির কারণে।	Sexism
LLM_SEX_000070	বুড়ো বয়সেও এইসব সাজুগুজো, লজ্জা করে না?	Sexism
LLM_SEX_000071	এদেরকে তৃতীয় লিঙ্গ বলা হাস্যকর, এসব পশ্চিমা সংস্কৃতির অনুকরণ।	Sexism
LLM_SEX_000072	ছেলে হয়ে মেয়ে সাজা একটা অসুস্থ মানসিকতা, এদের চিকিৎসা দরকার।	Sexism
LLM_SEX_000073	তৃতীয় লিঙ্গের নাম করে শুধু সমাজের কাছে সহানুভূতি আদায় করা হয়।	Sexism
LLM_SEX_000074	যারা লিঙ্গ পরিবর্তন করে তারা প্রকৃতির নিয়ম ভাঙছে, এটা সৃষ্টিকর্তার বিরুদ্ধে যুদ্ধ।	Sexism
LLM_SEX_000075	মেয়েদের মুখে বড় বড় কথা মানায় না, ওদের কাজ শুধু ঘর সামলানো।	Sexism
LLM_SEX_000076	আজকাল মেয়েরা অল্পতেই পুরুষদের নামে মিথ্যা অপবাদ দেয়।	Sexism
LLM_SEX_000077	নারী নেতৃত্ব মানেই সিদ্ধান্তহীনতা আর আবেগপ্রবণতা।	Sexism
LLM_SEX_000078	যে মেয়েদের চরিত্র ভালো না, তারাই পরকীয়ার দিকে ঝোঁকে।	Sexism
LLM_SEX_000079	অতিরিক্ত সাজগোজ করা মেয়েদের বিশ্বাস করা যায় না, এদের মনে অন্য কিছু থাকে।	Sexism
LLM_SEX_000080	মেয়েরা নিজেদের সম্মান নিজেরাই নষ্ট করে, পুরুষদের দোষ দিয়ে লাভ নেই।	Sexism
LLM_SEX_000081	যে মেয়ে এতবার বিয়ে ভাঙে তার চরিত্র নিয়ে প্রশ্ন ওঠা স্বাভাবিক।	Sexism
LLM_SEX_000082	এসব অর্ধনগ্ন পোশাকে জনসম্মুখে আসা মেয়েদের জন্য লজ্জা।	Sexism
LLM_SEX_000083	এদের তো টাকা দিলে শরীর বেচতে পিছপা হয় না।	Sexism
LLM_SEX_000084	মেয়েরা একটু সুযোগ পেলেই ছেলেদের সাথে বিছানায় যেতে চায়।	Sexism
LLM_SEX_000085	এই খানকিদের কারণেই সমাজে এত নোংরামি।	Sexism
LLM_SEX_000086	যে নারীর সম্মান নেই, সে কি করে দেশের নেত্রী হবে?	Sexism
LLM_SEX_000087	কোন মেয়ে জোর করে ধর্ষিত হয় না, তারও সম্মতি থাকে।	Sexism
LLM_SEX_000088	আধুনিকতার নামে মেয়েরা এখন শুধু শরীর প্রদর্শন করে বেড়াচ্ছে।	Sexism
LLM_SEX_000089	ছেলে হয়ে মেয়ের মতো সাজলে তো লোকে অন্য কিছু ভাববেই, এটা স্বাভাবিক।	Sexism
LLM_SEX_000090	এইসব নেত্রীরা পুরুষদের চোখে পড়ার জন্য কত নোংরা কাজ করে।	Sexism
LLM_SEX_000091	ওর শরীর দেখে তো মনে হচ্ছে রাতের বেলার বাজারের পণ্য।	Sexism
LLM_SEX_000092	এই বয়সেও এমন শরীর দেখিয়ে বেড়ানো কি মানায়?	Sexism
LLM_SEX_000093	ওর চোখের চাহনিই বলে দিচ্ছে ও কেমন মেয়ে।	Sexism
LLM_SEX_000094	এইরকম পোশাকে তো ওর মাথা কাজ করবে না, শুধু শরীরই দেখা যাবে।	Sexism
LLM_SEX_000095	প্রকাশ্যে এমন পোশাক পরা মানেই পুরুষদের উস্কানি দেওয়া।	Sexism
LLM_SEX_000096	শরীরটা কমিয়ে ভদ্রভাবে থাকলে কি হয় না?	Sexism
LLM_SEX_000097	এই সব মেয়েরা তো প্লাস্টিকের পুতুল, আসল সৌন্দর্য নেই।	Sexism
LLM_SEX_000098	নাচতে নামলে পোশাকটা আরও ছোট হয়ে যায়, উদ্দেশ্য তো স্পষ্ট।	Sexism
LLM_SEX_000099	মেয়েটার ফিগার দেখে মনে হচ্ছে, সে বেশ খোলামেলা।	Sexism
LLM_SEX_000100	মেয়েদের শরীরটাই ওদের পুঁজি, বুদ্ধি থাকলে তো আর এমন করত না।	Sexism
LLM_SEX_000101	খেলা বাদ দিয়ে শরীর দেখাতে এসেছে, মাঠের মধ্যে এসব কী?	Sexism
LLM_SEX_000102	মেয়েদের দিয়ে এত কঠিন খেলা হয় না, শুধু শক্তি নষ্ট।	Sexism
LLM_SEX_000103	মেয়েদের মন আর গিরগিটির রঙ, কখন বদলায় বোঝা দায়।	Sexism
LLM_SEX_000104	এমন পোশাক পরে মাঠে নামলে কি আর খেলায় মন থাকে? সব তো নজর কাড়ার চেষ্টা।	Sexism
LLM_SEX_000105	ঘর ফেলে মাঠে নেমেছে, ঘরের কাজ কে করবে তাহলে?	Sexism
LLM_SEX_000106	টাকা দিলে তো এই মেয়েরা নিজেদের সবকিছু বিক্রি করে দিতে পারে।	Sexism
LLM_SEX_000107	মেয়েদের কান্না আর কুমিরের কান্না, দুটোই সমান মিথ্যা।	Sexism
LLM_SEX_000108	পুরুষের অনুমতি ছাড়া মেয়েদের এত বড় সিদ্ধান্ত নেওয়া উচিত নয়।	Sexism
LLM_SEX_000109	মেয়েদের এত কথা বলার দরকার নেই, চুপচাপ থাকলেই মানায়।	Sexism
LLM_SEX_000110	নিশ্চয়ই কোনো পুরুষকে পটিয়ে এই জায়গায় এসেছে, নিজের যোগ্যতা বলে নয়।	Sexism
LLM_SEX_000111	সংসার সামলাতে পারে না, আবার এসেছে দেশের হাল ধরতে। হাস্যকর!	Sexism
LLM_SEX_000112	এই অল্প বুদ্ধির মেয়েরা দেশের অর্থনীতি কী বুঝবে? পুরুষেরাই সব বোঝে।	Sexism
LLM_SEX_000113	একটা শাড়ি পরতে পারে না ঠিকমতো, আবার এসেছে পার্লামেন্টে নীতি কথা শোনাতে।	Sexism
LLM_SEX_000114	কোন বিছানায় ঘুমিয়ে এই পদ পেয়েছে, তা সবাই জানে।	Sexism
LLM_SEX_000115	মেয়েদের মুখের কথা আর পায়খানার গন্ধ, দুটোই বাজে।	Sexism
LLM_SEX_000116	মেয়েদের অবাধ স্বাধীনতার কারণেই দেশে ধর্ষণের ঘটনা বাড়ছে।	Sexism
LLM_SEX_000117	এই চিকন গলার মেয়েদের কথা শুনলে হাসি পায়, ওদের দিয়ে শাসন চলে না।	Sexism
LLM_SEX_000118	পেছনে নিশ্চয়ই কোনো পুরুষ কলকাঠি নাড়ছে, ও তো শুধু পুতুল।	Sexism
LLM_SEX_000119	মেয়েদের এত উচ্চাকাঙ্ক্ষা ভালো নয়, নিজের সীমানায় থাকা উচিত।	Sexism
LLM_SEX_000120	বাজারে মুরগির দাম কমেছে, মেয়েদের দাম কবে কমবে?	Sexism
LLM_SEX_000121	মেয়েরা দিয়ে ফুটবল বা ক্রিকেট হয় না, শক্তি আর বুদ্ধি দুটোই কম।	Sexism
LLM_SEX_000122	খেলাধুলা ছেড়ে ঘরে ফিরে রান্নাঘর সামলানো উচিত, এসব পুরুষের কাজ।	Sexism
LLM_SEX_000123	এই মহিলা খেলোয়াড়রা শুধু নিজেদের শরীর দেখাতে মাঠে আসে, খেলার জন্য নয়।	Sexism
LLM_SEX_000124	আসল সতী নারী ঘরে থাকে, রাস্তায় নয়।	Sexism
LLM_SEX_000125	মেয়েরা তো সামান্য ব্যাপারেই কেঁদে ভাসায়, এদেরকে কি আর খেলার দায়িত্ব দেওয়া যায়?	Sexism
LLM_SEX_000126	মেয়েদের শরীরের প্রতি লোভে পুরুষরা পাগল হয়, এটাই প্রকৃতির নিয়ম।	Sexism
LLM_SEX_000127	একটা মেয়ে দলনেত্রী হলে তো দলটাই রসাতলে যাবে, সিদ্ধান্ত নিতেই জানে না।	Sexism
LLM_SEX_000128	শর্টস পরা এইসব মেয়েদের দেখে তো মনে হয় না যে তারা খেলোয়াড়, কোনো মডেলিং এজেন্সি থেকে এসেছে নাকি?	Sexism
LLM_SEX_000129	নারী জাতির কপালে এর থেকে ভালো কিছু জোটে না।	Sexism
LLM_SEX_000130	এসব নারী স্বাধীনতার নামে সমাজটাকে নষ্ট করছে, পুরুষদের উপর চাপ বাড়াচ্ছে।	Sexism
LLM_SEX_000131	মেয়েদের রাগ আর বন্যার জল, দুটোই নিয়ন্ত্রণহীন আর বিপদজনক।	Sexism
LLM_SEX_000132	ঘরে বসে রান্না করবে না, রাস্তায় এসে লেকচার দেবে! এমন নারীদের কথা কে শুনবে?	Sexism
LLM_SEX_000133	এইসব নোংরা কথা বলা মহিলারা শুধু সমাজের পরিবেশ নষ্ট করে।	Sexism
LLM_SEX_000134	মুখের কথা নয়, আগে নিজের সাজগোজ ঠিক করো, তারপর প্রতিবাদ করতে এসো।	Sexism
LLM_SEX_000135	পুরুষরা যখন রেগে কথা বলে সেটা যুক্তি, আর মেয়েরা বললে সেটা নাটক।	Sexism
LLM_SEX_000136	মেয়েদের আবেগ দিয়ে দেশ চলে না, এদের কথায় কান দিতে নেই।	Sexism
LLM_SEX_000137	চিৎকার করে কী লাভ? আসলে তো কোনো পুরুষের মনোযোগ চাইছে।	Sexism
LLM_SEX_000138	এত জোর গলায় কথা না বলে, একটু নরমভাবে বললেই তো হয়! মেয়ে মানুষ বলে কথা।	Sexism
LLM_SEX_000139	যারা প্রকাশ্যে এত চিৎকার করে, তাদের ঘরে কি আর সম্মান থাকে?	Sexism
LLM_SEX_000140	মেয়েদের কাজ হলো ঘর সামলানো, রাস্তাঘাটে এসে পুরুষদের সাথে গলা মেলানো নয়।	Sexism
LLM_SEX_000141	মেয়েদের এত উচ্চশিক্ষার কি দরকার? শেষমেশ তো রান্নাঘরেই যাবে।	Sexism
LLM_SEX_000142	এই মহিলা কর্মকর্তা শুধু আবেগ দিয়ে অফিস চালায়, কাজের কাজ কিছুই হয় না।	Sexism
LLM_SEX_000143	অল্প সময়ে এত উপরে উঠে আসা মেয়েদের গল্প সবসময়ই এক, যোগ্যতা দিয়ে নয়।	Sexism
LLM_SEX_000144	যে নারীরা শুধু কেরিয়ারের পেছনে ছোটে, তারা ভালো স্ত্রী বা মা হতে পারে না।	Sexism
LLM_SEX_000145	মেয়েদের দিয়ে গবেষণা বা জটিল কাজ হয় না, তাদের বুদ্ধি শুধু ছোটখাটো বিষয়ে চলে।	Sexism
LLM_SEX_000146	অফিসে সাজুগুজো করে আসে পুরুষ সহকর্মীদের মনোযোগ কাড়তে, কাজ করতে নয়।	Sexism
LLM_SEX_000147	এই সামান্য একটা প্রজেক্ট সফল করেই এত ক্রেডিট নিচ্ছে, পুরুষরা এর থেকেও বড় কাজ করে।	Sexism
LLM_SEX_000148	নারী যখন মহাকাশে যাওয়ার স্বপ্ন দেখে, তখন পৃথিবীর খাবার কে রান্না করবে?	Sexism
LLM_SEX_000149	নারী পাইলট? ইঞ্জিন কীভাবে কাজ করে সেটাই তো বোঝে না, বিমান চালাবে কী করে?	Sexism
LLM_SEX_000150	বেশি পড়াশোনা আর কেরিয়ারের চাপে মেয়েরা তাদের নারীত্ব ভুলে যাচ্ছে।	Sexism
LLM_SEX_000151	এই মহিলা দেশ চালাবে? নিজের স্বামীকেই তো সামলাতে পারে না।	Sexism
LLM_SEX_000152	মেয়েদের তো মন নরম, এত চাপ নিতে পারে না। তাই বড় দায়িত্ব দেওয়া ঠিক না।	Sexism
LLM_SEX_000153	এইসব মেয়েদের উচ্চবাচ্য শুধু পুরুষদের মনোযোগ কাড়ার জন্য, আসল কথা তো বোঝেই না।	Sexism
LLM_SEX_000154	এগুলো তো সব লোক দেখানো নাটক! প্রকৃতিকে ধোঁকা দিয়ে কিসের অধিকার চায়?	Sexism
LLM_SEX_000155	খেলাধুলা মেয়েদের কাজ নয়, শক্তি দেখিয়ে লাভ নেই, ঘরে গিয়ে সংসার সামলাও।	Sexism
LLM_SEX_000156	বেশি কথা বলা ভালো না, মেয়েদের সংযত থাকা উচিত।	Sexism
LLM_SEX_000157	একটা মেয়ের সিদ্ধান্ত এমন অযৌক্তিকই হবে, আর কি আশা করা যায়?	Sexism
LLM_SEX_000158	ছেলের শরীর নিয়ে মেয়ে সাজার ভান করা বন্ধ করো, দেখতে হাস্যকর লাগে।	Sexism
LLM_SEX_000159	পুরুষরা কেন ভুল করবে? নিশ্চয়ই এই মেয়েটাই উসকে দিয়েছে।	Sexism
LLM_SEX_000160	মেয়েদের বুদ্ধি হাঁটুতে আর মন বারবার পাল্টায়, এদের বিশ্বাস করা বোকামি।	Sexism
LLM_SEX_000161	যে মেয়ে ঠিকমতো শরীর ঢাকতে জানে না, সে আর কেমন পরিবারের মেয়ে?	Sexism
LLM_SEX_000162	এতো ঢং করে সাজগোজ আর স্বল্প পোশাকে চলাফেরা মানেই পুরুষদের আকর্ষণ করা।	Sexism
LLM_SEX_000163	বেহায়া মেয়েরা নিজেদের শরীর দেখিয়ে রাস্তায় বের হয়, তারপর বলে শ্লীলতাহানি!	Sexism
LLM_SEX_000164	ঘরের বৌদের মানায় শাড়ি, আর এসব আধুনিক পোশাক তো শুধু বাজারের মেয়েদের জন্য।	Sexism
LLM_SEX_000165	শালীনতার সীমা যখন পেরিয়ে যায়, তখন সম্মান আশা করা বোকামি।	Sexism
LLM_SEX_000166	পোশাক দেখে বোঝা যায় কার মনে কি চলে। ভালো মেয়েরা কখনো এমন খোলামেলা হয় না।	Sexism
LLM_SEX_000167	পুরুষদের উস্কানি দিতেই এমন পোশাক পরা হয়, এতে আর লুকানোর কি আছে?	Sexism
LLM_SEX_000168	বিদেশী সংস্কৃতি অনুকরণ করে শরীর দেখালে নিজেদেরই মান কমে।	Sexism
LLM_SEX_000169	কম কাপড়ে নিজেকে আধুনিক ভাবাটা আসলে মানসিক দীনতা।	Sexism
LLM_SEX_000170	যে মেয়ের পোশাক শালীন নয়, তার চরিত্র নিয়েও প্রশ্ন ওঠে।	Sexism
LLM_SEX_000171	মেয়েদেরকে রান্নাঘরের বাইরে দেখতে চাই না, দেশের কাজ পুরুষেরাই বোঝে।	Sexism
LLM_SEX_000172	মেয়েরা শুধু কান্নাকাটি আর মিথ্যা অভিযোগ দিয়ে কাজ হাসিল করতে জানে।	Sexism
LLM_SEX_000173	বাজারের সবজি আর নারী, দুটোই সস্তা হয়ে গেছে আজকাল।	Sexism
LLM_SEX_000174	এদের শরীরই তো দুর্বল, খেলাধুলা করে কী হবে? অল্পতেই ভেঙে পড়বে।	Sexism
LLM_SEX_000175	আবেগ দিয়ে নয়, বুদ্ধি দিয়ে কথা বলো। এটা ছেলেদের কাজ, তোমাদের নয়।	Sexism
LLM_SEX_000176	মেয়েদের সম্মান আর মূল্য শুধু তাদের চেহারার উপর নির্ভর করে, আর কিছু না।	Sexism
LLM_SEX_000177	মেয়েরা যুক্তিতে নয়, কান্না আর জেদেই বেশি পারদর্শী। তাই তাদের কথায় কান দেওয়া বৃথা।	Sexism
LLM_SEX_000178	পুরুষরা যেখানে জটিল সব কাজ করছে, সেখানে মেয়েরা শুধু বসের মন যুগিয়ে পদ বাগিয়ে নিচ্ছে।	Sexism
LLM_SEX_000179	যে মেয়েরা একাধিক সম্পর্কে জড়ায়, তাদের চরিত্র নিয়ে কথা বলাই উচিত নয়।	Sexism
LLM_SEX_000180	এরা তো টাকার বিনিময়ে শরীর বিক্রি করা বাজারের পণ্যের মতো।	Sexism
LLM_SEX_000181	নারী যখন ক্ষমতায় আসে, তখন দেশ নয়, পরিবারই চলে।	Sexism
LLM_SEX_000182	এই ছোট পোশাক পরা মেয়েগুলো শুধু পুরুষদের মন ভোলাতেই জানে।	Sexism
LLM_SEX_000183	নারী প্রকৌশলী? শুধু সহকর্মীদের চা বানাতে আর হাসি মুখে কথা বলতেই আসে।	Sexism
LLM_SEX_000184	বিয়ের পর মেয়েদের মন শুধু অন্য পুরুষের দিকেই থাকে।	Sexism
LLM_SEX_000185	মেয়েদের কথা শুনে লাভ নেই, ওদের সব কথা শুধু অনুভূতির উপর ভিত্তি করে।	Sexism
LLM_SEX_000186	এরা ঘরের কাজ ফেলে রাস্তায় নাটক করতে এসেছে, এদেরকে কে দেখবে?	Sexism
LLM_SEX_000187	বোরকা পরে প্রতিবাদ করলেই পারতো, এত শরীর দেখানোর কি দরকার?	Sexism
LLM_SEX_000188	এদের তো নিজেদের সিদ্ধান্ত নেওয়ার বুদ্ধি নেই, পুরুষদের কথায় নাচছে।	Sexism
LLM_SEX_000189	মিডিয়ার সামনে মুখ দেখিয়ে লাইক কামানোই এদের আসল উদ্দেশ্য।	Sexism
LLM_SEX_000190	আজকের বাজারে মেয়েদের সম্মান তো রাস্তার ধুলোর সমান, প্রতিবাদ করে কি লাভ?	Sexism
LLM_SEX_000191	এরা তো দুই ঘণ্টা রোদে দাঁড়ালেই অসুস্থ হয়ে পড়বে, কিসের আন্দোলন করবে?	Sexism
LLM_SEX_000192	এইসব মেয়েদের গলা শুনে মনে হচ্ছে যেন পাড়ার বিড়াল ঝগড়া করছে।	Sexism
LLM_SEX_000193	সুন্দর মুখ থাকলে তো সব কাজই সহজ, প্রতিবাদের কি দরকার?	Sexism
LLM_SEX_000194	রাতে কোন বিছানায় ছিল কে জানে, এখন এসেছে দিনের বেলা প্রতিবাদ করতে।	Sexism
LLM_SEX_000195	এরা নাকি সমাজের পরিবর্তন আনবে? নিজেদের ঘর সামলাতে পারে না।	Sexism
LLM_SEX_000196	নারীদের কাজ দেশ চালানো নয়, সংসার চালানো। সংসদে এদের কথা শুনতে ভালো লাগে না।	Sexism
LLM_SEX_000197	মেয়েরা বাইরে বের হলেই সমস্যা, ঘরে থাকলেই এত বিপদ হতো না।	Sexism
LLM_SEX_000198	লাইকের জন্য এখন মেয়েরা যা খুশি তাই করে, লজ্জা শরম তো নেই।	Sexism
LLM_SEX_000199	ওইসব মেয়েলী কান্নার সুর ছাড়া আর কীই বা শুনতে পাওয়া যায়?	Sexism
LLM_SEX_000200	পুরুষের টাকা ছাড়া এদের একটা দিনও চলে না, আবার কিসের সমান অধিকার?	Sexism
